DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;43.0;51.0;51.0;51.0;51.0;51.0
2;0.0;98.0;118.0;117.0;117.0;117.0;117.0
3;0.0;131.0;163.0;163.0;163.0;161.0;161.0
4;0.0;168.0;232.0;231.0;231.0;230.0;230.0
5;0.0;211.0;282.0;282.0;281.0;281.0;281.0
6;0.0;251.0;348.0;348.0;347.0;347.0;347.0
7;0.0;293.0;419.0;418.0;416.0;416.0;416.0
8;0.0;334.0;489.0;489.0;488.0;488.0;488.0
9;0.0;382.0;555.0;555.0;554.0;554.0;554.0
10;0.0;422.0;606.0;606.0;606.0;606.0;606.0
11;0.0;473.0;677.0;677.0;677.0;677.0;677.0
12;0.0;509.0;752.0;752.0;751.0;751.0;751.0
13;0.0;546.0;798.0;798.0;798.0;798.0;798.0
14;0.0;564.0;816.0;815.0;814.0;814.0;814.0
15;0.0;607.0;879.0;878.0;878.0;878.0;878.0
16;0.0;657.0;949.0;949.0;948.0;947.0;947.0
17;0.0;700.0;1011.0;1011.0;1011.0;1011.0;1011.0
18;4.0;746.0;1088.0;1088.0;1088.0;1088.0;1088.0
19;4.0;790.0;1161.0;1161.0;1161.0;1161.0;1161.0
20;4.0;831.0;1223.0;1223.0;1222.0;1221.0;1221.0
21;4.0;875.0;1298.0;1298.0;1298.0;1298.0;1298.0
22;4.0;882.0;1304.0;1304.0;1304.0;1304.0;1304.0
23;4.0;917.0;1351.0;1351.0;1350.0;1350.0;1350.0
24;4.0;956.0;1406.0;1406.0;1406.0;1406.0;1406.0
25;4.0;983.0;1442.0;1441.0;1441.0;1440.0;1440.0
26;4.0;1019.0;1493.0;1492.0;1490.0;1490.0;1490.0
27;18.0;1055.0;1570.0;1569.0;1569.0;1569.0;1569.0
28;18.0;1092.0;1647.0;1646.0;1646.0;1646.0;1646.0
29;18.0;1143.0;1713.0;1713.0;1713.0;1713.0;1713.0
30;18.0;1173.0;1753.0;1753.0;1753.0;1753.0;1753.0
