DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;3.0;38.0;67.0;67.0;65.0;65.0;65.0
2;4.0;89.0;150.0;150.0;148.0;147.0;147.0
3;12.0;124.0;234.0;234.0;234.0;234.0;234.0
4;12.0;163.0;285.0;285.0;285.0;285.0;285.0
5;12.0;224.0;363.0;363.0;363.0;363.0;363.0
6;12.0;272.0;419.0;419.0;419.0;419.0;419.0
7;12.0;316.0;496.0;496.0;496.0;496.0;496.0
8;12.0;354.0;551.0;550.0;550.0;550.0;550.0
9;16.0;381.0;600.0;600.0;600.0;600.0;600.0
10;16.0;428.0;662.0;662.0;662.0;661.0;661.0
11;16.0;472.0;732.0;731.0;731.0;731.0;731.0
12;16.0;506.0;774.0;774.0;774.0;774.0;774.0
13;16.0;555.0;847.0;846.0;846.0;846.0;846.0
14;18.0;595.0;912.0;912.0;912.0;911.0;911.0
15;18.0;640.0;972.0;972.0;971.0;971.0;971.0
16;18.0;682.0;1045.0;1045.0;1044.0;1043.0;1043.0
17;18.0;724.0;1116.0;1116.0;1116.0;1115.0;1115.0
18;18.0;773.0;1178.0;1178.0;1177.0;1177.0;1177.0
19;18.0;817.0;1231.0;1231.0;1231.0;1230.0;1230.0
20;18.0;866.0;1306.0;1305.0;1304.0;1304.0;1304.0
21;18.0;905.0;1381.0;1381.0;1381.0;1381.0;1381.0
22;18.0;941.0;1428.0;1428.0;1428.0;1428.0;1428.0
23;18.0;985.0;1495.0;1494.0;1493.0;1493.0;1493.0
24;18.0;1032.0;1561.0;1561.0;1561.0;1560.0;1560.0
25;18.0;1077.0;1629.0;1629.0;1628.0;1628.0;1628.0
26;34.0;1109.0;1712.0;1711.0;1711.0;1711.0;1711.0
27;34.0;1156.0;1787.0;1787.0;1787.0;1786.0;1786.0
28;34.0;1198.0;1837.0;1836.0;1836.0;1836.0;1836.0
29;34.0;1214.0;1854.0;1854.0;1854.0;1854.0;1854.0
30;34.0;1261.0;1923.0;1922.0;1922.0;1922.0;1922.0
