DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;41.0;59.0;59.0;59.0;59.0;59.0
2;0.0;85.0;118.0;118.0;117.0;117.0;117.0
3;0.0;139.0;187.0;187.0;186.0;186.0;186.0
4;9.0;177.0;257.0;257.0;257.0;256.0;256.0
5;9.0;216.0;311.0;311.0;311.0;311.0;311.0
6;9.0;222.0;318.0;318.0;317.0;317.0;317.0
7;9.0;272.0;379.0;379.0;378.0;378.0;378.0
8;9.0;319.0;449.0;449.0;449.0;449.0;449.0
9;13.0;358.0;534.0;534.0;534.0;534.0;534.0
10;13.0;399.0;580.0;580.0;579.0;579.0;579.0
11;13.0;424.0;610.0;609.0;609.0;609.0;609.0
12;13.0;468.0;668.0;668.0;668.0;668.0;668.0
13;26.0;497.0;737.0;737.0;737.0;737.0;737.0
14;26.0;538.0;800.0;800.0;800.0;798.0;798.0
15;30.0;577.0;861.0;861.0;860.0;860.0;860.0
16;34.0;617.0;937.0;937.0;936.0;935.0;935.0
17;39.0;663.0;1006.0;1005.0;1005.0;1005.0;1005.0
18;49.0;700.0;1087.0;1087.0;1087.0;1087.0;1087.0
19;49.0;743.0;1152.0;1152.0;1152.0;1152.0;1152.0
20;54.0;780.0;1232.0;1232.0;1231.0;1230.0;1230.0
21;54.0;816.0;1274.0;1274.0;1274.0;1274.0;1274.0
22;56.0;852.0;1336.0;1336.0;1334.0;1332.0;1332.0
23;56.0;885.0;1388.0;1388.0;1388.0;1387.0;1387.0
24;56.0;934.0;1456.0;1455.0;1454.0;1454.0;1454.0
25;56.0;969.0;1514.0;1514.0;1514.0;1514.0;1514.0
26;56.0;972.0;1516.0;1516.0;1515.0;1515.0;1515.0
27;56.0;998.0;1552.0;1551.0;1551.0;1550.0;1550.0
28;64.0;1033.0;1631.0;1629.0;1629.0;1628.0;1628.0
29;64.0;1079.0;1693.0;1693.0;1693.0;1693.0;1693.0
30;64.0;1122.0;1754.0;1753.0;1752.0;1752.0;1752.0
