DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;19.0;24.0;23.0;23.0;23.0;23.0
2;1.0;53.0;100.0;100.0;100.0;100.0;100.0
3;1.0;86.0;139.0;139.0;138.0;137.0;137.0
4;1.0;123.0;202.0;202.0;201.0;201.0;201.0
5;1.0;153.0;251.0;251.0;250.0;250.0;250.0
6;1.0;196.0;323.0;323.0;323.0;323.0;323.0
7;32.0;223.0;392.0;392.0;392.0;392.0;392.0
8;32.0;267.0;461.0;461.0;461.0;461.0;461.0
9;32.0;303.0;525.0;525.0;525.0;525.0;525.0
10;32.0;342.0;582.0;581.0;580.0;580.0;580.0
11;32.0;371.0;634.0;633.0;633.0;633.0;633.0
12;33.0;407.0;703.0;703.0;703.0;703.0;703.0
13;33.0;452.0;774.0;774.0;772.0;772.0;772.0
14;33.0;497.0;839.0;838.0;838.0;838.0;838.0
15;33.0;541.0;905.0;905.0;904.0;904.0;904.0
16;33.0;592.0;973.0;972.0;972.0;972.0;972.0
17;33.0;634.0;1043.0;1043.0;1043.0;1042.0;1042.0
18;33.0;674.0;1107.0;1107.0;1107.0;1107.0;1107.0
19;33.0;712.0;1174.0;1173.0;1173.0;1172.0;1172.0
20;33.0;748.0;1234.0;1234.0;1232.0;1232.0;1232.0
21;59.0;779.0;1312.0;1312.0;1312.0;1312.0;1312.0
22;68.0;813.0;1383.0;1383.0;1383.0;1382.0;1382.0
23;68.0;853.0;1442.0;1442.0;1442.0;1442.0;1442.0
24;68.0;894.0;1510.0;1510.0;1510.0;1510.0;1510.0
25;68.0;934.0;1558.0;1557.0;1557.0;1557.0;1557.0
26;68.0;966.0;1605.0;1605.0;1605.0;1605.0;1605.0
27;68.0;973.0;1610.0;1609.0;1609.0;1609.0;1609.0
28;68.0;1008.0;1672.0;1671.0;1670.0;1670.0;1670.0
29;68.0;1043.0;1736.0;1736.0;1735.0;1735.0;1735.0
30;68.0;1076.0;1797.0;1796.0;1796.0;1796.0;1796.0
